"","req_tot","repartition_requetes","done","problematic"
"67","AU-ID(24169359700) OR AU-ID(24170144100) OR AU-ID(24172022700) OR AU-ID(24172211500) OR AU-ID(24172491500) OR AU-ID(24172674300) OR AU-ID(24173700000) OR AU-ID(24174753000) OR AU-ID(24175814500) OR AU-ID(24176924200)","Mathis2",0,0
"68","AU-ID(24178935400) OR AU-ID(24278817900) OR AU-ID(24280649500) OR AU-ID(24280962500) OR AU-ID(24281984500) OR AU-ID(24286271400) OR AU-ID(24286617700) OR AU-ID(24314847300) OR AU-ID(24329563900) OR AU-ID(24331230800)","Mathis2",0,0
"69","AU-ID(24334356700) OR AU-ID(24334620100) OR AU-ID(24335246100) OR AU-ID(24336842900) OR AU-ID(24338155800) OR AU-ID(24338908800) OR AU-ID(24339081700) OR AU-ID(24340277400) OR AU-ID(24340825100) OR AU-ID(24341266800)","Mathis2",0,0
"70","AU-ID(24343033900) OR AU-ID(24344153800) OR AU-ID(24344675200) OR AU-ID(24345132600) OR AU-ID(24351510700) OR AU-ID(24363721800) OR AU-ID(24375991700) OR AU-ID(24376127900) OR AU-ID(24376504700) OR AU-ID(24385495800)","Mathis2",0,0
"71","AU-ID(24391706600) OR AU-ID(24394468700) OR AU-ID(24400186000) OR AU-ID(24400634800) OR AU-ID(24401137500) OR AU-ID(24401236400) OR AU-ID(24401692200) OR AU-ID(24401974900) OR AU-ID(24402187900) OR AU-ID(24402530600)","Mathis2",0,0
"72","AU-ID(24443221700) OR AU-ID(24447964800) OR AU-ID(24449431200) OR AU-ID(24449855400) OR AU-ID(24450300100) OR AU-ID(24453711900) OR AU-ID(24461463800) OR AU-ID(24462149300) OR AU-ID(24462499200) OR AU-ID(24462871800)","Mathis2",0,0
"73","AU-ID(24466602000) OR AU-ID(24467132200) OR AU-ID(24467278700) OR AU-ID(24468946800) OR AU-ID(24470452800) OR AU-ID(24471240700) OR AU-ID(24471291100) OR AU-ID(24473837100) OR AU-ID(24474249000) OR AU-ID(24474251800)","Mathis2",0,0
"74","AU-ID(24474438300) OR AU-ID(24474672000) OR AU-ID(24474755600) OR AU-ID(24475743800) OR AU-ID(24476635900) OR AU-ID(24477141200) OR AU-ID(24477940900) OR AU-ID(24478534600) OR AU-ID(24482404300) OR AU-ID(24484791900)","Mathis2",0,0
"75","AU-ID(24485298800) OR AU-ID(24491610900) OR AU-ID(24491618800) OR AU-ID(24497074600) OR AU-ID(24512294500) OR AU-ID(24520250700) OR AU-ID(24528127600) OR AU-ID(24528543800) OR AU-ID(24529205600) OR AU-ID(24532104300)","Mathis2",0,0
"76","AU-ID(24578148200) OR AU-ID(24587653600) OR AU-ID(24588390100) OR AU-ID(24597987300) OR AU-ID(24598240100) OR AU-ID(24605375700) OR AU-ID(24723495900) OR AU-ID(24725016000) OR AU-ID(24725812300) OR AU-ID(24729234100)","Mathis2",0,0
